pressure,time
1.3E-09 ,2025-11-25 11:22:44
1.3E-09 ,2025-11-25 11:22:45
2.9E-06 ,2025-11-25 11:22:45
1.1E-04 ,2025-11-25 11:22:46
3.5E-05 ,2025-11-25 11:22:46
3.5E-05 ,2025-11-25 11:22:47
3.5E-05 ,2025-11-25 11:22:47
3.5E-05 ,2025-11-25 11:22:48
3.5E-05 ,2025-11-25 11:22:49
3.5E-05 ,2025-11-25 11:22:49
3.5E-05 ,2025-11-25 11:22:50
3.5E-05 ,2025-11-25 11:22:50
3.5E-05 ,2025-11-25 11:22:51
3.5E-05 ,2025-11-25 11:22:51
3.5E-05 ,2025-11-25 11:22:52
3.5E-05 ,2025-11-25 11:22:52
3.5E-05 ,2025-11-25 11:22:53
3.5E-05 ,2025-11-25 11:22:53
3.5E-05 ,2025-11-25 11:22:54
3.5E-05 ,2025-11-25 11:22:55
3.5E-05 ,2025-11-25 11:22:55
3.5E-05 ,2025-11-25 11:22:56
3.5E-05 ,2025-11-25 11:22:56
3.5E-05 ,2025-11-25 11:22:57
3.5E-05 ,2025-11-25 11:22:57
3.5E-05 ,2025-11-25 11:22:58
3.5E-05 ,2025-11-25 11:22:58
